iter	Logloss
0	0.6745567762
1	0.6588102934
2	0.64460435
3	0.6303177223
4	0.6159163996
5	0.6031787757
6	0.588808817
7	0.5820413679
8	0.5695766243
9	0.5613547108
10	0.5547737882
11	0.5476839006
12	0.5387968015
13	0.5345539268
14	0.5265669591
15	0.5200520087
16	0.5147353697
17	0.5089660542
18	0.503015334
19	0.4971129728
20	0.4912730789
21	0.4875805526
22	0.4832881518
23	0.479867437
24	0.4765701549
25	0.4727575679
26	0.4686843242
27	0.4642485589
28	0.461106538
29	0.4575121553
30	0.4537674302
31	0.4526257236
32	0.4500379209
33	0.4472826082
34	0.4435385553
35	0.4400375999
36	0.4372935933
37	0.4349834056
38	0.4319584702
39	0.4288322976
40	0.4264513926
41	0.4249788627
42	0.4221828908
43	0.4197734468
44	0.4159719776
45	0.4145231538
46	0.4124451689
47	0.4091465295
48	0.4073756872
49	0.4051884839
50	0.403926831
51	0.4025094783
52	0.4005735026
53	0.3998462305
54	0.3980483608
55	0.3957616234
56	0.3937655106
57	0.3929750125
58	0.3900239609
59	0.3884964854
60	0.3871795621
61	0.3855330142
62	0.3846433289
63	0.3834311351
64	0.3827051921
65	0.3818566962
66	0.3807477374
67	0.3798035059
68	0.3791906005
69	0.3782482584
70	0.3777651751
71	0.3770738881
72	0.3765889359
73	0.376404006
74	0.3757407204
75	0.3748705533
76	0.3741553882
77	0.3734639641
78	0.3732108235
79	0.372411752
80	0.371703437
81	0.3709045382
82	0.3706381667
83	0.3698548251
84	0.368828439
85	0.3682092596
86	0.3674689376
87	0.3667381988
88	0.3665732802
89	0.365048225
90	0.3637135977
91	0.3623253702
92	0.3615174981
93	0.3609370423
94	0.3604296208
95	0.3600475491
96	0.3596377976
97	0.3590327841
98	0.3586350719
99	0.3583750375
100	0.3579164083
101	0.3576054313
102	0.3573477606
103	0.3571702324
104	0.3563723859
105	0.3563708295
106	0.3558353194
107	0.3554022579
108	0.3546104231
109	0.3542021601
110	0.3537656885
111	0.3530349644
112	0.3528758142
113	0.3522694583
114	0.3522688151
115	0.3520089797
116	0.3517957837
117	0.351613347
118	0.3511310856
119	0.3511306079
120	0.350666941
121	0.3503368891
122	0.3501043372
123	0.3498516253
124	0.3496747045
125	0.3493419935
126	0.3489621672
127	0.3485195913
128	0.3481335294
129	0.3473944952
130	0.3470509517
131	0.3468927215
132	0.346365665
133	0.3463409339
134	0.3458945963
135	0.3457693328
136	0.3454708761
137	0.3451439553
138	0.345143944
139	0.3448073113
140	0.3444895059
141	0.344466979
142	0.3444567041
143	0.3442288657
144	0.3440507215
145	0.3434622194
146	0.3434168116
147	0.3427252817
148	0.3424306057
149	0.3420605652
150	0.3415865566
151	0.340914603
152	0.3406390353
153	0.3403721838
154	0.3401376788
155	0.3397728672
156	0.3395205431
157	0.3394953113
158	0.3384524728
159	0.3376637639
160	0.3375543659
161	0.3369616179
162	0.3367001742
163	0.3366643147
164	0.3363614278
165	0.3363538719
166	0.3359339296
167	0.3359339295
168	0.3358011606
169	0.335325188
170	0.33515793
171	0.3346408806
172	0.3344613952
173	0.3342887716
174	0.3341973955
175	0.3339260786
176	0.3335486257
177	0.3332311176
178	0.3328642426
179	0.3326198701
180	0.3322645151
181	0.3316652129
182	0.3316119742
183	0.3312552408
184	0.3312028278
185	0.3309365701
186	0.33040827
187	0.3301273371
188	0.3298199102
189	0.3298079822
190	0.3295775266
191	0.3290945853
192	0.3288399375
193	0.3288399353
194	0.3285792464
195	0.328462003
196	0.3283692504
197	0.3281422474
198	0.3281262268
199	0.3281262254
200	0.3280493929
201	0.3280493928
202	0.3277214806
203	0.3274491378
204	0.3269609028
205	0.3267006286
206	0.3264393369
207	0.326422943
208	0.3263924078
209	0.3263727014
210	0.3261402388
211	0.3261234002
212	0.3256424449
213	0.3254317471
214	0.3254267357
215	0.3251244147
216	0.3245631659
217	0.3245486703
218	0.3245249181
219	0.324524918
220	0.3244406538
221	0.3241173679
222	0.3240983104
223	0.3239212313
224	0.3238949824
225	0.3232288287
226	0.3228321089
227	0.3226790138
228	0.3225142666
229	0.32231196
230	0.3218437905
231	0.3214341815
232	0.3214094549
233	0.3213179738
234	0.3213179727
235	0.3210032799
236	0.3207624539
237	0.3207462231
238	0.3203014656
239	0.3201254093
240	0.31982773
241	0.3195630059
242	0.3195425335
243	0.3195060476
244	0.319412755
245	0.3193827795
246	0.3193002228
247	0.31915243
248	0.3187060629
249	0.3180884576
250	0.3179068886
251	0.3177751981
252	0.3171968829
253	0.3171683904
254	0.3167873501
255	0.3167541962
256	0.3167349533
257	0.3164551084
258	0.3164413839
259	0.3156785742
260	0.3153798431
261	0.3150654909
262	0.3150544999
263	0.3150094666
264	0.3149435143
265	0.3146436039
266	0.3146249694
267	0.3145889942
268	0.3141494438
269	0.3139716757
270	0.3137366302
271	0.3134477335
272	0.313161417
273	0.3125540854
274	0.3122204221
275	0.3119398839
276	0.3116490231
277	0.3115067389
278	0.311495624
279	0.3105612288
280	0.3103930628
281	0.3099964043
282	0.309968769
283	0.3096571092
284	0.3096410829
285	0.3093932781
286	0.3093742255
287	0.3092060037
288	0.3091521817
289	0.3088167965
290	0.3087663482
291	0.3085410945
292	0.3081128354
293	0.3079200314
294	0.3076381617
295	0.3074000026
296	0.3070865742
297	0.3069381843
298	0.3065142597
299	0.3062018634
