iter	Logloss
0	0.6868923954
1	0.6813339927
2	0.676058016
3	0.6700467948
4	0.6642138956
5	0.6589050035
6	0.6534841722
7	0.648038274
8	0.6437589045
9	0.6386681072
10	0.6331143329
11	0.6277727902
12	0.6229800796
13	0.6185752392
14	0.615939062
15	0.6116514769
16	0.6076945604
17	0.6033563601
18	0.6009605742
19	0.5971282703
20	0.5927353473
21	0.5896131603
22	0.585904601
23	0.5824763984
24	0.579554622
25	0.5764796411
26	0.572978095
27	0.5696223435
28	0.5663295719
29	0.5629334326
30	0.5611412586
31	0.5586204308
32	0.55535285
33	0.5521668448
34	0.549035725
35	0.5461078205
36	0.5433161498
37	0.5408429482
38	0.5393686546
39	0.5373084662
40	0.535210717
41	0.5330008779
42	0.529893871
43	0.5274625775
44	0.525632207
45	0.5239941672
46	0.5216325117
47	0.5192896733
48	0.5172545402
49	0.5154445218
50	0.5136246547
51	0.5125451456
52	0.5103100403
53	0.5080388536
54	0.5064195562
55	0.5049283061
56	0.5029431578
57	0.5010258059
58	0.4995387305
59	0.4977718843
60	0.496453531
61	0.4945119565
62	0.4929573075
63	0.4916061401
64	0.4901603603
65	0.4885808197
66	0.4874021492
67	0.4858795208
68	0.4841510297
69	0.4820857776
70	0.4807658604
71	0.4796074599
72	0.478478814
73	0.4775478146
74	0.4769290683
75	0.4748170558
76	0.4739433016
77	0.4732707365
78	0.4722588265
79	0.4712560081
80	0.4694730455
81	0.4682906498
82	0.4669042481
83	0.4656315307
84	0.4647458729
85	0.4630309525
86	0.4615958046
87	0.4601003317
88	0.4584036558
89	0.4572689067
90	0.4557856705
91	0.4553084441
92	0.4540807428
93	0.4524228346
94	0.4511072752
95	0.4503407259
96	0.4493110109
97	0.448429485
98	0.4470966113
99	0.445695682
100	0.4451496032
101	0.4437196033
102	0.4428823948
103	0.4421315267
104	0.4408877303
105	0.4402428468
106	0.4390338622
107	0.4385385905
108	0.4375186775
109	0.4366746324
110	0.4358167453
111	0.4349654809
112	0.4337738673
113	0.4325471217
114	0.4317737965
115	0.4310349506
116	0.4304376377
117	0.4300620483
118	0.4295623601
119	0.4290145778
120	0.4282188916
121	0.4275805883
122	0.4268125605
123	0.4260292075
124	0.4253362224
125	0.423730737
126	0.4230043274
127	0.4218280145
128	0.421478374
129	0.4206548268
130	0.4201643236
131	0.4194249714
132	0.418327322
133	0.4169980486
134	0.4162701263
135	0.4162342607
136	0.4157769796
137	0.4150418643
138	0.4139978735
139	0.4133260588
140	0.4127451106
141	0.4120918277
142	0.4113345651
143	0.410569503
144	0.4101948019
145	0.4099568045
146	0.409447315
147	0.4088021652
148	0.4083031586
149	0.407758155
150	0.4070739602
151	0.406453217
152	0.4057948013
153	0.405673277
154	0.4050329981
155	0.4043516563
156	0.4038007091
157	0.4035776237
158	0.403017724
159	0.4024117502
160	0.4021307725
161	0.4016555963
162	0.401075247
163	0.4005476555
