iter	RMSE
349	14621.39505
350	14596.27926
351	14593.79673
352	14583.43544
353	14562.6019
354	14553.5591
355	14528.53491
356	14523.15159
357	14506.96923
358	14504.65336
359	14482.46466
360	14474.21409
361	14461.51633
362	14453.90834
363	14438.31781
364	14412.50061
365	14407.82915
366	14397.92987
367	14393.16708
368	14383.2678
369	14379.927
370	14353.8994
371	14343.74241
372	14328.89495
373	14312.96594
374	14285.51294
375	14267.07049
376	14255.13194
377	14247.28658
378	14243.01859
379	14230.08679
380	14221.57596
381	14208.80728
382	14191.22923
383	14170.62899
384	14150.82628
385	14140.98052
386	14130.79128
387	14117.66354
388	14100.87944
389	14093.13185
390	14081.75795
391	14067.94938
392	14057.09489
393	14042.53656
394	14018.10441
395	13998.80521
396	13985.69885
397	13956.88534
398	13938.28846
399	13927.97522
400	13914.31764
401	13903.71757
402	13888.96636
403	13886.12352
404	13880.27118
405	13865.46855
406	13849.10722
407	13846.79775
408	13833.61597
409	13816.54316
410	13807.72091
411	13794.01359
412	13788.56791
413	13784.34237
414	13765.36924
415	13748.7799
416	13736.94184
417	13734.52496
418	13720.06898
419	13718.81334
420	13711.27903
421	13685.4129
422	13663.88482
423	13658.36962
424	13651.83415
425	13650.63354
426	13630.02207
427	13606.20776
428	13581.56052
429	13546.95557
430	13540.95037
431	13529.41038
432	13526.20507
433	13518.32452
434	13514.01372
435	13489.18887
436	13479.06285
437	13474.4523
438	13473.19205
439	13454.5856
440	13436.62332
441	13422.92611
442	13417.69559
443	13411.32365
444	13406.71008
445	13404.9312
446	13396.45819
447	13382.24581
448	13365.13076
449	13358.89083
450	13334.06938
451	13318.38976
452	13310.02808
453	13288.48611
454	13276.98242
455	13251.71691
456	13236.6155
457	13234.2697
458	13210.71219
459	13201.52573
460	13196.94829
461	13181.76429
462	13180.25065
463	13163.72378
464	13150.44886
465	13147.23556
466	13145.4174
467	13135.00856
468	13130.93879
469	13114.90679
470	13094.53671
471	13086.44885
472	13081.90693
473	13054.18877
474	13052.81858
475	13035.06972
476	13026.0738
477	13024.77471
478	13010.85419
479	12986.0898
480	12965.5126
481	12964.00979
482	12952.32576
483	12951.4002
484	12950.67606
485	12943.88773
486	12932.41946
487	12924.19056
488	12909.95051
489	12890.41288
490	12882.30617
491	12856.60764
492	12821.41369
493	12811.99889
494	12809.4775
495	12808.05764
496	12806.48309
497	12786.5177
498	12784.99289
499	12749.16191
500	12719.30244
501	12700.70907
502	12690.04357
503	12667.2534
504	12649.98402
505	12634.37717
506	12610.32597
507	12607.60213
508	12594.87707
509	12563.53199
510	12560.96983
511	12551.1993
512	12542.84452
513	12531.70633
514	12525.04648
515	12523.56945
516	12511.80392
517	12506.79394
518	12504.73615
519	12484.78427
520	12478.00221
521	12467.79167
522	12459.3521
523	12442.51223
524	12430.05815
525	12429.12296
526	12407.37415
527	12389.63232
528	12385.5337
529	12366.71799
530	12357.74848
531	12351.46786
532	12340.15429
533	12334.07765
534	12333.25898
535	12312.08357
536	12283.86906
537	12268.94154
538	12266.55482
539	12261.96218
540	12259.96813
541	12239.55879
542	12238.66987
543	12225.80261
544	12216.50129
545	12188.22678
546	12172.84571
547	12162.06921
548	12161.23053
549	12135.80486
550	12135.04422
551	12108.00934
552	12084.54091
553	12073.38098
554	12060.98877
555	12051.50833
556	12044.65079
557	12035.84886
558	12031.18956
559	12013.21281
560	11991.73358
561	11984.21434
562	11979.45141
563	11968.98598
564	11951.00559
565	11929.3682
566	11903.64524
567	11895.38999
568	11873.31663
569	11856.43845
570	11839.5075
571	11824.27097
572	11819.92662
573	11819.07996
574	11817.71406
575	11812.84089
576	11811.69893
577	11799.5662
578	11797.88835
579	11790.21366
580	11769.35862
581	11768.66817
582	11752.30359
583	11748.3619
584	11735.91678
585	11715.45957
586	11713.46271
587	11712.97852
588	11709.68039
589	11693.85392
590	11686.49956
591	11678.47916
592	11670.85022
593	11662.86159
594	11651.85561
595	11647.17356
596	11639.30509
597	11623.94894
598	11623.10924
599	11619.13395
600	11603.12631
601	11602.24063
602	11587.61188
603	11564.2707
604	11547.82276
605	11526.95336
606	11508.55705
607	11499.30559
608	11490.1911
609	11478.6607
610	11472.23776
611	11461.51034
612	11448.1156
613	11436.14514
614	11431.92279
615	11406.69647
616	11402.03748
617	11387.0412
618	11376.66594
619	11365.96748
620	11362.62312
621	11348.4817
622	11343.75716
623	11326.7129
624	11314.01081
625	11296.68697
626	11282.07447
627	11280.0349
628	11276.4383
629	11273.83774
630	11266.88616
631	11254.60784
632	11242.91518
633	11233.83504
634	11218.77282
635	11213.79879
636	11212.80566
637	11210.3031
638	11200.3054
639	11186.23714
640	11174.86828
641	11166.74886
642	11146.86928
643	11143.35545
644	11137.01827
645	11124.12518
646	11120.41306
647	11109.69304
648	11102.65496
649	11101.92879
650	11082.67654
651	11074.7835
652	11060.10616
653	11048.30803
654	11035.80589
655	11032.71483
656	11022.09101
657	11005.77445
658	10990.49528
659	10989.82314
660	10984.36461
661	10966.37162
662	10960.44873
663	10955.33694
664	10938.83682
665	10925.51311
666	10918.36954
667	10917.7151
668	10913.44517
669	10895.86005
670	10890.36054
671	10886.93434
672	10874.44387
673	10870.66349
674	10868.73285
675	10861.99109
676	10841.49654
677	10822.08948
678	10813.85502
679	10805.51462
680	10789.84488
681	10782.28625
682	10771.96145
683	10752.82491
684	10736.10269
685	10723.58503
686	10719.23895
687	10707.83385
688	10704.34525
689	10697.15154
690	10695.73004
691	10687.62015
692	10672.28379
693	10667.81571
694	10665.15
695	10657.47728
696	10656.43806
697	10633.59508
698	10629.99148
699	10622.37079
700	10614.27558
701	10613.08207
702	10612.49422
703	10595.58343
704	10589.24363
705	10572.45769
706	10566.07705
707	10564.78684
708	10559.46147
709	10553.95422
710	10549.43062
711	10532.75166
712	10522.58501
713	10514.82815
714	10509.59378
715	10500.19821
716	10497.90861
717	10491.2028
718	10475.61252
719	10466.80507
720	10458.78505
721	10455.38754
722	10434.03336
723	10429.51188
724	10428.90116
725	10421.48615
726	10416.04583
727	10396.00441
728	10390.41961
729	10371.87665
730	10362.94778
731	10353.74142
732	10349.0398
733	10333.54108
734	10319.5798
735	10312.71154
736	10297.04168
